,artist,song_title,track_id,popularity,danceability,energy,speechiness,instrumentalness,valence,tempo
0,Hozier,Take Me To Church,7dS5EaCoMnN7DzlpT6aRn2,0,0.566,0.664,0.0464,0.0,0.437,128.945
1,Mike Posner,Cooler Than Me - Single Mix,2V4bv1fNWfTcyRJKmej6Sj,78,0.768,0.82,0.0474,0.0,0.625,129.965
2,"Tyler, The Creator",See You Again (feat. Kali Uchis),7KA4W4McWYRpgf0fWsJZWB,93,0.558,0.559,0.0959,7.49e-06,0.62,78.558
3,Bastille,Pompeii,3gbBpTdY8lnQwqxNCcf795,74,0.679,0.715,0.0407,0.0,0.571,127.435
4,Shakira,Hips Don't Lie (feat. Wyclef Jean),3ZFTkvIE7kyPt6Nu3PEa7V,87,0.778,0.824,0.0707,0.0,0.758,100.024
5,The Script,Hall of Fame (feat. will.i.am),7wMq5n8mYSKlQIGECKUgTX,83,0.421,0.873,0.0564,0.0,0.629,84.786
6,Otto Knows,Back Where I Belong (feat. Avicii),78W8wiUIlQ2SnWY9TVowKZ,57,0.497,0.865,0.0644,0.0679,0.595,125.96
7,Selena Gomez,The Heart Wants What It Wants,2jcPoPin36hyNRSi4ZsqeB,0,0.616,0.789,0.0377,0.0,0.621,83.066
8,Taio Cruz,Dynamite,2CEgGE6aESpnmtfiZwYlbV,80,0.751,0.783,0.0859,0.0,0.816,119.975
9,Mohombi,Bumpy Ride,0tBRo4P60DgKmg4jt48upm,0,0.709,0.854,0.0399,0.0,0.826,105.074
10,Lucenzo,Danza Kuduro (feat. Don Omar),1kAZhbcsXqfUjnVeqPywn2,0,0.706,0.89,0.0847,0.0,0.896,130.051
11,Cheek,Syypää sun hymyyn (feat. Yasmine Yamajako),2N2QvMYwyYHE8V4KZbbG4i,49,0.472,0.815,0.319,0.0,0.81,98.017
12,Flo Rida,Whistle,0ltBH1JNzSvQJPjJpvTu9B,58,0.754,0.933,0.0448,0.0,0.75,103.992
13,Avril Lavigne,Girlfriend,5HbCnVLXRyZVxnreOPgJCK,0,0.56,0.959,0.102,0.000206,0.67,163.983
14,Justin Bieber,Baby,4NFhtFE68cXUrfbne8JE2c,0,0.463,0.854,0.32,0.0,0.567,65.038
15,Flo Rida,I Cry,5HE3z4Ew7wZ91l3ZOpGKa4,33,0.693,0.822,0.0439,1.79e-06,0.763,126.035
16,Mohombi,Coconut Tree,5L9THbmMKB6ZlHlMgzaXHf,0,0.687,0.855,0.0416,0.0,0.647,130.029
17,Justin Bieber,One Less Lonely Girl,7qUcqYzOtfZe65bednDxmz,0,0.58,0.75,0.194,0.0,0.728,86.938
18,Pikku G,Romeo ja Julia (feat. Sophie),0seHreoI3kwp38OlEgLLnT,36,0.695,0.628,0.0442,0.0,0.529,144.114
19,Swedish House Mafia,Don't You Worry Child - Radio Edit,5DcPOPPUnNhyPYbTi2aWjR,0,0.608,0.828,0.051,0.0,0.484,128.919
20,Macklemore & Ryan Lewis,Can't Hold Us (feat. Ray Dalton),3bidbhpOYeV4knp8AIu8Xn,83,0.641,0.922,0.0786,0.0,0.847,146.078
21,David Guetta,She Wolf (Falling to Pieces) [feat. Sia],1HfPcQ3c2HyGeID3u1lmCa,53,0.491,0.857,0.0656,7.57e-06,0.395,129.971
22,Imagine Dragons,Radioactive,6Ep6BzIOB9tz3P4sWqiiAB,0,0.473,0.777,0.059,7.87e-05,0.21,136.249
23,Flo Rida,Whistle,3bC1ahPIYt1btJzSSEyyrF,80,0.747,0.937,0.0453,0.0,0.739,103.976
24,Calvin Harris,I Need Your Love (feat. Ellie Goulding),05SBRd4fXgn8FX7bf8BCAE,75,0.695,0.869,0.0483,0.0,0.58,124.989
25,Pitbull,Timber (feat. Ke$ha),3cHyrEgdyYRjgJKSOiOtcS,84,0.581,0.963,0.0981,0.0,0.788,129.992
26,will.i.am,Scream & Shout,2iJuuzV8P9Yz0VSurttIV5,80,0.772,0.685,0.0696,8.96e-05,0.501,130.033
27,Avicii,Wake Me Up - Radio Edit,6g1NlCpW7fgqDnWbCCDrHl,26,0.532,0.783,0.0523,0.0012,0.643,124.08
28,Macklemore & Ryan Lewis,Thrift Shop (feat. Wanz),4YMqbFcDIFiCBd02PzUBcM,2,0.781,0.526,0.293,0.0,0.662,94.992
29,David Guetta,Play Hard (feat. Ne-Yo & Akon),5YPMEOJ58kfl56VHxTgwx3,74,0.691,0.921,0.0533,0.0,0.8,130.072
30,The Script,Superheroes,37sINbJZcFdHFAsVNsPq1i,76,0.49,0.885,0.0396,0.0,0.64,166.996
31,Flo Rida,I Cry,3zrYNl1aMdFrQkcOjKVr5u,64,0.693,0.822,0.0439,1.79e-06,0.763,126.035
32,OneRepublic,Counting Stars,1QzFhzIOW7CyRJLpmq5CM0,64,0.663,0.705,0.0385,0.0,0.477,122.014
33,PSY,Gangnam Style (강남스타일),1R2SZUOGJqqBiLuvwKOT2Y,0,0.727,0.938,0.288,0.0,0.757,132.077
34,Pitbull,Feel This Moment (feat. Christina Aguilera),4yOn1TEcfsKHUJCL2h1r8I,55,0.668,0.758,0.158,0.0,0.531,135.958
35,FRENSHIP,Capsize,3GBlLqIYgB8zWaeWDNJzdh,0,0.681,0.708,0.0304,0.14,0.356,92.993
36,Tungevaag,Magical,43lwHSTEexXRVVeXZtAtfi,36,0.504,0.912,0.259,0.0,0.248,189.983
37,Leona Lewis,Bleeding Love,6LtPIXlIzPOTF8vTecYjRe,67,0.635,0.647,0.0366,0.0,0.201,104.058
38,Tujamo,Drop That Low (When I Dip),48kF7W23OIcVBsNY5UesuQ,0,0.579,0.896,0.373,0.836,0.103,125.672
39,Jonas Blue,Perfect Strangers,1CUVN2kn7mW5FjkqXTR2W1,0,0.742,0.819,0.0487,0.0,0.709,117.986
40,Axwell /\ Ingrosso,Thinking About You,3eBwnjEe60kDJAMlFg1ewf,0,0.69,0.811,0.058,0.0,0.521,122.001
41,Joel Adams,Please Don't Go,3cNjgVBKTJ1SvKhunrCdVy,73,0.513,0.768,0.0587,1.94e-05,0.235,84.264
42,Martin Garrix,Lions in the Wild,6F1kPSgdnlSzZRfskE9vaV,0,0.504,0.847,0.0442,0.0,0.28,127.854
43,Flume,Never Be Like You,12REd1n8PeiHHWOh066tpr,0,0.494,0.559,0.0565,0.0,0.264,119.247
44,Shawn Mendes,Treat You Better,53B2XmmjJ9rriW1qciMBeX,0,0.45,0.825,0.372,0.0,0.742,82.823
45,Twenty One Pilots,Heathens,6i0V12jOa3mr6uu4WYhUBr,83,0.732,0.396,0.0286,3.58e-05,0.548,90.024
46,Adele,Send My Love (To Your New Lover),3KZcrZ36LW9RnChK1iIkth,1,0.688,0.532,0.0875,3.08e-06,0.565,164.068
47,Adele,When We Were Young,0cj2joJcY6b4XSRfj2eZOl,0,0.377,0.595,0.0489,0.0,0.264,144.464
48,Adele,Someone Like You,6QPKYGnAW9QozVz2dSWqRg,1,0.554,0.321,0.028,0.0,0.288,135.047
49,Adele,Set Fire to the Rain,5PKWUDfQFtc5qqo8cs1gQp,0,0.603,0.67,0.0249,1.66e-06,0.445,107.995
50,OneRepublic,Apologize,1NrJYpdAi7uosDRPmSYrsG,72,0.593,0.74,0.0339,2.22e-05,0.502,118.008
51,Juju,Onnelliseksi,6hvNLxrHBdR1qzdrKasCPE,34,0.645,0.434,0.0399,0.00226,0.249,100.01
52,Ed Sheeran,I See Fire,5pY3ovFxbvAg7reGZjJQSp,0,0.641,0.176,0.0349,5.14e-06,0.297,76.031
53,Snow Patrol,Chasing Cars,11bD1JtSjlIgKgZG2134DZ,8,0.563,0.592,0.0276,5.08e-05,0.136,104.016
54,A Great Big World,Say Something,6Vc5wAMmXdKIAM7WUoEb7N,75,0.407,0.147,0.0355,2.89e-06,0.0765,141.284
55,Various Artists,Go Hard or Go Home,2QJnTfMpNG05KFf2E3gVIJ,60,0.651,0.741,0.0408,1.2e-05,0.386,168.02
56,Arttu Lindeman,Läikkyy,1gou2U6ZcLKXLBC3MYVtEu,35,0.669,0.846,0.156,0.0,0.793,150.014
57,Anssi Kela,1972,4htrHrq1AB38vprDEha0hv,13,0.542,0.644,0.0961,0.0,0.545,153.972
58,Britney Spears,Toxic,26nr9XnFCYWxBTIP7HyWXg,52,0.774,0.839,0.114,0.0166,0.923,142.985
59,Mikael Gabriel,Älä herätä mua unesta,02RaNOB5CIiXAhgvLE6Xp0,47,0.656,0.675,0.0457,0.0,0.353,126.889
60,Aste,Spaceman,3PfG2rMOU9HglycfbIC4yM,36,0.737,0.95,0.0611,0.0,0.968,127.0
61,Aste,Only One,1ttYNQjND5nBtUnpNMlLQQ,28,0.578,0.839,0.0755,0.0,0.509,121.995
62,Selena Gomez,Come & Get It,5U2m76qAMdr3gXI0g6ptlG,0,0.349,0.795,0.0758,0.000138,0.542,148.985
63,OneRepublic,Wherever I Go,7kUtJKGZzLNgIkq1Galkt0,0,0.543,0.691,0.0425,0.0,0.335,100.014
64,Robin Schulz,Heatwave (feat. Akon),2KMJ5CoxY4ECG9TZyNWmpv,61,0.702,0.82,0.063,0.0,0.52,107.936
65,Teflon Brothers,Hubba Bubba,2hQVEDz4hG8RGmzSPKTDrT,0,0.68,0.847,0.0353,0.0,0.792,136.039
66,AlunaGeorge,I'm In Control,16NOHRm0OEjmg55OZAxVmV,0,0.734,0.847,0.0346,0.000144,0.673,104.013
67,Dimitri Vegas & Like Mike,Arcade - Radio Edit,7FKjWBgGgCGYoRRDIhp4bR,29,0.565,0.957,0.0723,0.69,0.175,127.953
68,Sean Paul,She Doesn't Mind,4odiyU3myG29Ld0wurMfE8,73,0.718,0.776,0.0693,5.3e-06,0.622,120.015
69,Bobby Burns,Satellites - Radio Edit,3peFUAm5l0kWIJXy7Q8GYP,0,0.535,0.829,0.0613,2.7e-05,0.573,127.952
70,Sebastian Ingrosso,Calling (Lose My Mind) - Radio Edit,34NNeV9jfgNgaALgUr0u9V,0,0.416,0.849,0.0455,0.000138,0.147,125.098
71,The Lonely Island,I Just Had Sex,1OmxpKVSvn0LGcM3SQS4OV,0,0.621,0.802,0.118,0.0,0.819,167.976
72,Scarlet,Angels Unite (Radio Edit),3UFoVEy7B2yqUMB21yyJm2,0,0.529,0.876,0.0337,1.92e-05,0.282,144.998
73,Filip Jenven,Gypsy Drop - Radio Edit,11xsm79HwpWV1C1lMXoVo9,32,0.797,0.962,0.0906,0.767,0.422,128.047
74,Scooter,Bigroom Blitz - Radio Mix,1Xcww2gldd5hN6WvGBsbFT,20,0.713,0.909,0.0306,0.000706,0.438,132.022
75,Showtek,Satisfied (feat. VASSY) - Original Mix,6LU68pNqUguPOsjPIaJwo6,0,0.611,0.941,0.0491,0.0205,0.589,128.002
76,Sander van Doorn,Gold Skies - Original Mix,4zXQSm5XIkcn5qtmtbwO9O,0,0.564,0.823,0.046,0.0716,0.221,128.018
77,John Martin,Love Louder - Style Of Eye Remix,2WEiz65hkQPlThgncVH34T,27,0.56,0.854,0.0669,1.07e-06,0.274,126.001
78,Martin Garrix,Forbidden Voices,2BF1X5nkYYSb0AUTRaGkDm,0,0.534,0.711,0.0368,0.0031,0.3,128.102
79,Anders Nilsen,Salsa Tequila,4WRjqQ6sx5qIcddaIxNTfF,0,0.661,0.906,0.125,4.1e-05,0.638,127.966
80,Basshunter,All I Ever Wanted - Radio Edit,3uoqlATyV5IWOhy0LBF7k1,44,0.645,0.984,0.0508,0.00701,0.553,144.954
81,David Guetta,Memories (feat. Kid Cudi),4iMu9le3ytNO3tvgVpQANx,51,0.561,0.87,0.343,2.82e-06,0.498,129.98
82,Various Artists,Trumpsta (Djuro Remix) [feat. Treyy G],3YcXXjmC9cM5Y2x3jUps0p,0,0.973,0.587,0.242,0.38,0.195,128.0
83,ItaloBrothers,Moonlight Shadow,6T9vhWadqtG3J3jfYf8kcI,40,0.577,0.952,0.0404,0.00603,0.808,150.02
84,ItaloBrothers,Colours Of The Rainbow,4fWcyB6ik13xv6QFmORi0H,33,0.616,0.946,0.059,0.000188,0.744,140.045
